DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
200204399,01/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,TOLUCA                       ST
200204410,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,600,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,14TH                         ST
200204420,01/09/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1800,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,LUCAS                        AV
200204430,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,715,Rampart,BATTERY - SIMPLE ASSAULT,58,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,1400 S  BURLINGTON                   AV
200204431,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,715,Rampart,FALSE IMPRISONMENT,47,F,H,,Adult Other,1400 S  BURLINGTON                   AV
200204434,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1030,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,F,H,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,CARONDELET                   ST
200204436,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,930,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60,M,H,,Invest Cont,500    LOMA                         DR
200204437,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1700,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,30,M,W,VERBAL THREAT,Invest Cont,500 S  CORONADO                     ST
211116946,12/30/2021 12:00:00 AM,07/18/2020 12:00:00 AM,1220,Northeast,THEFT OF IDENTITY,39,M,W,,Invest Cont,4700 N  MENDOTA                      AV
200409308,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,100,Hollenbeck,VEHICLE - STOLEN,0,,,,Invest Cont,4000    GUARDIA                      AV
221204086,12/15/2021 12:00:00 AM,12/01/2020 12:00:00 AM,800,77th Street,THEFT OF IDENTITY,24,M,B,,Invest Cont,2100 W  79TH                         ST
200204450,01/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1440,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,200 S  WESTLAKE                     AV
200204454,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2340,Rampart,ROBBERY,33,M,B,HAND GUN,Invest Cont,ALBANY
200809661,05/19/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1730,West LA,BURGLARY FROM VEHICLE,33,F,W,,Invest Cont,1600    BARRY                        AV
200204460,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1730,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,ALEXANDRIA                   AV
200204463,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,500,Rampart,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,2600    WILSHIRE                     BL
200204466,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1230,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,ECHO PARK                    AV
